연도,날짜,구,주야,사상자수,사고유형1,사고유형2,도로형태,가해차량,피해차량,시설종류,CCTV여부,보호구역폭,옐로카펫_설치유무,평균기온___,최저기온___,최고기온___,강수량_mm_,월별,분기별,평일주말
2015,20151107,양천구,0,1,0,0,1,0,0,0,1,5,0,10.5,9.3,11.7,24.5,11,4,1
2015,20151114,광진구,1,1,2,1,0,0,1,0,1,6,0,12.8,11,14.2,3.5,11,4,1
2015,20151119,노원구,1,1,0,0,0,1,0,0,0,19,0,8.9,6.7,10.8,0,11,4,0
2015,20151123,양천구,0,1,0,0,1,2,0,0,1,6,0,8.5,6.5,11,6.5,11,4,0
2015,20151130,강동구,0,1,0,0,1,2,0,0,1,6,0,4.1,0.9,8.5,0,11,4,0
2015,20151211,중구,1,1,0,0,0,1,0,0,1,6,0,6.4,3.3,12.2,0,12,4,0
2015,20151226,성동구,1,5,2,1,0,1,1,0,1,6.5,0,0.9,-3.2,4.7,0.7,12,4,1
2016,20160107,양천구,1,1,2,1,1,0,1,0,1,14,0,-3.4,-5.9,1.4,0,1,1,0
2016,20160114,서대문구,1,1,0,0,0,1,0,0,1,8,1,-3.4,-8.4,1.3,0,1,1,0
2016,20160116,동대문구,1,1,2,1,0,1,1,0,1,8,0,-0.2,-2.1,2.8,0.1,1,1,1
2016,20160210,양천구,0,1,0,0,0,1,0,0,1,5,0,2.7,-4.3,10.7,0,2,1,0
2016,20160211,성북구,0,2,2,1,1,0,1,0,1,8,0,8.1,1.6,13.5,0.1,2,1,0
2016,20160213,마포구,1,2,0,0,0,1,0,0,1,6.5,0,11,5.8,14.4,21,2,1,1
2016,20160217,노원구,1,1,0,1,1,1,0,1,1,20,0,0,-5.2,5.4,0,2,1,0
2016,20160222,양천구,1,2,2,1,0,1,1,0,1,7,0,1.1,-2.2,4.2,0,2,1,0
2016,20160303,성동구,1,1,0,1,1,2,0,0,1,24,0,8.1,4.4,13.9,0,3,1,0
2016,20160307,성동구,0,1,0,0,1,2,0,0,1,7,0,8.1,4.8,12.2,0,3,1,0
2016,20160308,성동구,0,1,0,0,1,2,0,0,1,6.5,0,2.7,-1.4,7,0,3,1,0
2016,20160320,양천구,0,2,1,1,0,1,,0,1,6,0,10.6,4.9,17.5,0,3,1,1
2016,20160325,양천구,0,1,0,0,0,1,0,0,1,17,0,7.1,2.1,12.6,0,3,1,0
2016,20160406,성동구,0,1,1,1,0,0,,0,1,10,0,14.4,6.6,22.9,3,4,2,0
2016,20160415,성북구,0,4,0,0,1,1,0,0,1,14,0,15,8.1,23.1,0,4,2,0
2016,20160427,노원구,0,1,0,0,1,1,0,0,1,11.85,0,17.2,14.5,20.7,0,4,2,0
2016,20160429,양천구,1,1,0,0,0,2,0,0,1,6,0,16.2,10.9,22.6,0.3,4,2,0
2016,20160502,성동구,0,1,0,1,1,1,0,0,1,8,0,21.1,16.5,28.4,16.5,5,2,0
2016,20160510,성북구,1,1,1,1,0,0,,0,1,8,0,14.5,12.5,18.1,13.5,5,2,0
2016,20160514,서초구,0,2,2,1,1,1,1,0,0,4,0,20.2,15.1,26.9,0,5,2,1
2016,20160514,도봉구,1,1,0,1,0,0,0,0,1,6.45,0,20.2,15.1,26.9,0,5,2,1
2016,20160523,마포구,1,1,0,0,0,1,0,0,1,6.5,0,23.3,18.3,29.4,0,5,2,0
2016,20160526,노원구,0,1,0,1,0,2,0,0,1,16,0,19.4,17.5,22.9,0,5,2,0
2016,20160614,성동구,0,1,1,1,2,1,,0,1,8,0,23.8,19.7,29.5,0,6,2,0
2016,20160619,양천구,1,1,2,1,1,1,1,0,1,12,0,24.1,20.3,29.3,0,6,2,1
2016,20160627,성동구,1,1,2,1,1,1,1,0,0,10,0,24.4,19.9,29.5,0,6,2,0
2016,20160706,양천구,0,1,0,0,0,1,0,0,1,6,0,22.9,20.3,26.9,0,7,3,0
2016,20160715,서초구,1,1,0,0,0,1,0,0,0,4,0,26.2,23.7,29.2,1.5,7,3,0
2016,20160722,성북구,0,1,0,0,1,1,0,0,1,10,0,29.1,25.3,34.1,0,7,3,0
2016,20160803,양천구,0,1,0,0,0,1,0,0,1,6,0,29.1,24,34.2,0,8,3,0
2016,20160804,성동구,1,2,1,1,0,2,,0,1,6.5,0,30.7,26,35.7,0,8,3,0
2016,20160808,노원구,0,1,0,0,1,2,0,0,1,12,0,30.5,26.4,35.5,0,8,3,0
2016,20160817,금천구,0,2,2,1,1,1,1,0,1,7,0,29.9,25.1,34.7,0,8,3,0
2016,20160822,중구,0,2,2,1,0,1,1,0,1,15,1,30.7,25.8,36.3,0.4,8,3,0
2016,20160823,성동구,1,2,2,1,1,0,1,0,1,8.5,0,28.3,26,33,8,8,3,0
2016,20160906,종로구,0,1,2,1,1,1,1,0,1,15.5,0,24.7,21,29,0,9,3,0
2016,20160909,중구,0,6,0,1,0,1,0,0,1,6,0,23.9,19.7,29.3,0,9,3,0
2016,20160911,노원구,0,1,2,1,0,1,1,0,1,16,0,24.5,22.1,28.2,0,9,3,1
2016,20160912,중구,1,1,0,0,0,1,0,0,1,6,0,23.4,21.4,27.5,2.5,9,3,0
2016,20160918,중구,0,3,2,1,1,2,1,0,1,15,0,23.5,20.2,28.3,0,9,3,1
2016,20160923,중랑구,0,1,0,0,0,1,0,0,1,10,0,21.4,16.4,27.9,0,9,3,0
2016,20161003,종로구,1,1,0,0,1,1,0,0,1,12,0,22.7,19.6,27.9,6.5,10,4,0
2016,20161005,노원구,0,1,0,0,1,1,0,0,1,6.45,0,21.1,17.5,27.2,0,10,4,0
2016,20161010,도봉구,1,1,2,1,1,0,1,0,1,12,0,14,7.4,21.4,0,10,4,0
2016,20161012,중랑구,1,1,0,0,0,1,0,0,1,10,0,15.5,11.4,20.7,0,10,4,0
2016,20161020,중구,1,1,0,0,1,1,0,0,0,6,0,18.6,12.9,25.8,0,10,4,0
2016,20161023,성동구,1,1,0,0,0,1,0,0,1,25,1,13.3,10.6,17.8,2.5,10,4,1
2016,20161028,중랑구,1,1,0,0,1,1,0,0,1,10,0,14.6,10.2,18.4,0.3,10,4,0
2016,20161030,중구,1,2,0,0,0,2,0,0,0,6,1,7.9,1.6,15.1,0,10,4,1
2016,20161107,강북구,0,1,2,1,1,0,1,0,1,6.75,0,12.8,8.5,17.8,5.5,11,4,0
2016,20161108,노원구,1,1,2,1,1,1,1,0,1,12,0,4.1,0.4,8.4,0.5,11,4,0
2016,20161119,중랑구,0,1,0,0,0,2,0,0,1,10,0,13,9.9,18.6,0,11,4,1
2016,20161128,양천구,0,1,2,1,1,0,1,1,1,14,0,1.4,-1.4,5.6,0,11,4,0
2016,20161205,노원구,1,1,2,1,1,1,1,0,1,14,0,5.9,0.5,10.3,1.5,12,4,0
2016,20161210,강북구,1,1,2,1,1,1,1,0,1,9.5,0,-1.6,-5.9,3.6,0,12,4,1
2016,20161220,중구,0,1,0,0,0,1,0,0,1,6,0,7.6,4.4,13.6,0,12,4,0
2016,20161221,종로구,1,1,0,0,0,1,0,0,1,6,0,7.9,4.1,12.6,29,12,4,0
2017,20170104,중랑구,0,1,2,1,1,0,1,0,1,10,0,3.9,1,8.9,0,1,1,0
2017,20170106,성동구,1,1,0,0,0,2,0,0,1,4,0,5.4,2.5,11.4,0,1,1,0
2017,20170110,양천구,1,2,2,1,0,1,1,0,1,6,0,-3.7,-7.4,1.1,0,1,1,0
2017,20170115,양천구,0,1,0,0,0,1,0,0,1,6,0,-6.6,-11.5,-0.9,0,1,1,1
2017,20170120,광진구,0,2,2,1,0,1,1,0,1,10,0,-4.4,-7.8,-1.4,4,1,1,0
2017,20170202,양천구,0,1,1,1,0,1,0,0,1,5,0,-2.7,-9.2,3.3,0,2,1,0
2017,20170203,양천구,1,1,1,1,0,1,0,0,1,6,0,1.5,-2.3,6.7,0,2,1,0
2017,20170205,노원구,1,2,1,1,0,1,0,0,1,7.4,0,1.2,-1.5,2.3,0.5,2,1,1
2017,20170211,종로구,1,1,0,0,1,1,0,0,1,8,1,-4.8,-9.2,0.8,0,2,1,1
2017,20170218,성동구,1,1,1,1,0,1,0,0,1,10,0,-2.6,-7,2.9,0,2,1,1
2017,20170305,강서구,0,1,1,1,0,1,0,0,1,6,0,5.2,1.2,10.4,0.5,3,1,1
2017,20170312,성동구,1,1,2,1,1,1,1,0,1,24,0,8.2,4.4,14,0,3,1,1
2017,20170317,성동구,1,2,2,1,1,1,1,0,1,7,0,7.7,1.2,15.7,0,3,1,0
2017,20170430,강북구,0,2,2,1,0,1,1,0,1,6.75,0,19.3,13.7,27.8,0,4,2,1
2017,20170504,양천구,0,1,0,1,0,2,0,0,1,5,0,21,14.8,27.5,0,5,2,0
2017,20170506,성북구,1,1,1,1,0,1,0,0,1,10,0,14.9,10,19.3,0,5,2,1
2017,20170507,성동구,0,1,0,1,1,1,0,0,1,25,1,16.6,10.9,22.8,0,5,2,1
2017,20170529,성북구,0,1,0,0,0,2,0,0,1,10,0,22.9,18.1,29.3,0,5,2,0
2017,20170531,양천구,0,1,0,1,1,1,0,0,1,5,0,23.3,17.7,29.6,0,5,2,0
2017,20170626,중구,0,4,2,1,0,1,1,0,0,6,0,23.1,20.1,29.9,29,6,2,0
2017,20170703,종로구,0,1,0,0,0,2,0,0,1,12,0,24.7,21.9,27.4,67.5,7,3,0
2017,20170712,강동구,0,1,0,0,0,1,0,0,1,5.5,0,27.1,24.9,31.1,0,7,3,0
2017,20170712,노원구,1,2,0,0,0,1,0,0,1,10,0,27.1,24.9,31.1,0,7,3,0
2017,20170713,성동구,0,1,2,1,1,0,1,0,1,6.5,0,27.6,23.1,32.1,0,7,3,0
2017,20170715,양천구,0,1,0,1,1,2,0,0,1,8,0,25,23.4,27.3,42.5,7,3,1
2017,20170725,양천구,0,1,0,0,0,1,0,0,1,5,0,29.4,24.6,35.4,0,7,3,0
2017,20170726,성북구,1,1,0,1,0,1,0,0,1,10,0,28.7,24.2,32.8,0,7,3,0
2017,20170825,노원구,1,1,0,0,0,1,0,0,1,6.8,0,25.3,22.2,30.6,0,8,3,0
2017,20170826,동대문구,0,1,1,1,0,1,0,0,1,10,0,24.2,19,29.2,0,8,3,1
2017,20170830,양천구,1,1,0,1,0,2,0,0,1,5,0,19.8,16.1,23.9,0,8,3,0
2017,20170903,성북구,0,1,0,1,0,1,0,0,1,10,1,23.7,19,29.2,0,9,3,1
2017,20170905,중랑구,0,1,0,0,0,2,0,0,1,10,0,21.9,20.4,23.7,0,9,3,0
2017,20170922,성동구,0,1,1,1,0,2,0,0,1,6.5,0,20.6,15.4,26.8,0,9,3,0
2017,20170923,금천구,0,5,0,1,1,1,0,0,1,7,0,21.8,17.6,27.3,0,9,3,1
2017,20170924,노원구,0,1,0,1,1,1,0,0,1,19.5,0,22.4,18.8,27.9,0,9,3,1
2017,20170925,성북구,0,1,2,1,1,0,1,0,1,10,1,23.4,17.4,30.1,0,9,3,0
2017,20171009,도봉구,1,1,1,1,0,1,0,0,1,13,1,22.5,19.8,27.6,0,10,4,0
2017,20171011,양천구,1,1,2,1,1,1,1,0,1,6,0,15.5,12.2,21.7,20,10,4,0
2017,20171013,양천구,0,1,0,0,0,1,0,0,1,6,0,12.8,6.1,18.9,0,10,4,0
2017,20171020,노원구,1,2,2,1,0,1,1,0,1,16,0,17,11.1,24.2,0,10,4,0
2017,20171025,서대문구,1,6,0,1,1,2,0,0,1,10.5,0,14.4,9.5,20.6,0,10,4,0
2017,20171102,중랑구,0,1,0,0,0,1,0,0,1,10,0,15.5,14,18,1,11,4,0
2017,20171103,노원구,1,1,2,1,0,1,1,0,1,8,0,12.3,6.1,16.6,1.5,11,4,0
2017,20171114,성동구,0,2,1,1,0,0,0,0,1,6.5,0,7.5,2.9,11.4,0,11,4,0
2017,20171130,노원구,1,1,0,0,1,1,0,0,1,10,0,-2.4,-5.2,2.7,0,11,4,0
2017,20171201,강서구,1,1,0,0,1,2,0,0,1,5,0,-2.2,-7.6,3.1,0,12,4,0
2017,20171213,중랑구,1,1,0,0,0,1,0,0,1,10,0,-8.7,-12,-4.4,0,12,4,0
2017,20171222,성동구,1,1,2,1,0,1,1,0,1,24,0,3.4,-1.9,6.6,0,12,4,0
2017,20171223,노원구,0,1,2,1,1,1,1,0,1,13.5,0,6.1,5,8.7,0,12,4,1
2018,20180115,성동구,1,1,0,0,2,1,0,0,1,7,0,4.7,1.8,7.7,0.2,1,1,0
2018,20180122,강동구,0,1,0,1,0,1,0,0,1,5.5,0,0.2,-5.3,4,3.3,1,1,0
2018,20180204,중구,1,1,2,1,0,1,1,0,1,15,1,-9.5,-12.8,-5.2,0,2,1,1
2018,20180209,용산구,1,1,1,1,0,1,0,0,1,15,0,0.4,-5.3,6.1,0,2,1,0
2018,20180225,중랑구,1,1,0,0,0,1,0,0,1,10,0,1.9,-1.6,7.9,0,2,1,1
2018,20180227,노원구,0,1,2,1,0,0,1,0,1,19.25,0,4.2,0.6,6.9,0,2,1,0
2018,20180308,중랑구,1,1,0,0,0,2,0,0,1,10,0,4.6,2.7,9.7,4,3,1,0
2018,20180311,노원구,1,1,0,1,2,1,0,0,1,6.45,0,6.4,2.7,12.2,0,3,1,1
2018,20180318,성동구,0,1,1,1,0,1,0,0,1,7,0,8.2,5.4,12.5,0.5,3,1,1
2018,20180322,중랑구,1,1,0,0,0,2,0,0,1,10,0,4.9,0.6,11.6,0,3,1,0
2018,20180422,강동구,1,1,0,0,0,1,0,0,1,15,0,15.5,10.7,21,15.5,4,2,1
2018,20180425,노원구,1,1,0,0,1,1,0,0,1,18.5,0,14.6,5.7,23.3,0,4,2,0
2018,20180512,중랑구,1,1,0,1,1,1,0,0,1,10,0,14.2,11.8,16.1,32,5,2,1
2018,20180517,양천구,1,1,2,1,1,1,1,0,1,14,0,20.9,18.8,23.5,83,5,2,0
2018,20180601,노원구,1,2,1,1,0,1,0,0,1,8.55,0,23.8,17.5,30.2,0,6,2,0
2018,20180603,종로구,0,1,2,1,1,2,1,0,1,30,0,24,16.9,30.8,0,6,2,1
2018,20180609,노원구,1,1,1,1,0,2,0,0,1,14,0,23.7,18.9,30.1,0.5,6,2,1
2018,20180613,노원구,1,2,0,0,0,1,0,0,1,11,0,22,18.3,27,0,6,2,0
2018,20180614,양천구,1,1,2,1,0,1,1,0,1,7,0,21.6,18.8,25.1,29,6,2,0
2018,20180619,성북구,0,1,2,1,1,1,1,0,1,10,0,22.4,19.1,27.2,0,6,2,0
2018,20180625,노원구,0,1,0,0,0,1,0,0,1,21.5,0,27.1,21.3,32.9,0,6,2,0
2018,20180703,금천구,0,1,0,0,1,2,0,0,1,7,0,27.4,22.5,32.6,0.1,7,3,0
2018,20180719,노원구,1,1,0,0,0,1,0,0,1,12.5,0,28.7,23.2,34.1,0,7,3,0
2018,20180726,양천구,1,1,2,1,0,1,1,0,1,6,0,30.1,27.3,33.7,0,7,3,0
2018,20180801,성북구,1,2,0,0,0,1,0,0,1,14,0,33.6,27.8,39.6,0,8,3,0
2018,20180804,중랑구,1,1,0,0,0,0,0,0,1,10,0,31.1,28,34.9,0,8,3,1
2018,20180807,노원구,1,1,0,0,2,1,0,0,1,12.5,0,30.5,26.8,35.9,0,8,3,0
2018,20180912,양천구,1,1,1,1,0,1,0,0,1,6,0,22.8,16.8,28.2,0,9,3,0
2018,20180913,성동구,0,1,0,0,1,2,0,0,1,10,0,23.5,20.3,28.3,0,9,3,0
2018,20180918,강서구,1,1,0,0,1,1,0,0,1,6,0,22,17.7,26.5,0,9,3,0
2018,20181009,양천구,1,1,1,1,0,1,0,0,1,6,0,15.3,10.7,19.8,0,10,4,0
2018,20181120,양천구,0,1,0,0,1,2,0,0,1,5,0,6.5,0,12.7,0.2,11,4,0
2018,20181129,중랑구,0,4,2,1,2,1,1,0,1,10,0,3.5,0.6,6.7,0,11,4,0
2018,20181208,광진구,0,2,2,1,0,1,1,0,1,10,0,-8.3,-11.4,-4.4,0,12,4,1
2018,20181215,성북구,1,1,1,1,0,1,0,0,1,10,0,-2.4,-7.8,3.2,0,12,4,1
2018,20181225,양천구,1,1,0,0,0,2,0,0,1,6,0,0.6,-4,5.2,0,12,4,0
2018,20181230,강북구,1,1,0,0,0,1,0,0,1,10,1,-6.8,-11.3,-0.9,0,12,4,1
2019,20190103,노원구,0,2,0,1,0,2,0,0,1,13.5,0,-3.5,-8.4,3.2,0,1,1,0
2019,20190116,성동구,1,1,1,1,1,1,0,0,1,8.5,0,-5.2,-10.1,-1.1,0,1,1,0
2019,20190123,종로구,1,1,0,1,0,2,0,0,1,15,1,2,-0.8,7,0,1,1,0
2019,20190125,도봉구,1,2,1,1,0,1,0,0,1,13,1,-1.2,-3.8,2.6,0,1,1,0
2019,20190130,양천구,1,1,0,0,0,2,0,0,1,6,0,1.8,-2.8,6.6,0,1,1,0
2019,20190224,구로구,0,1,1,1,0,1,0,0,1,10,0,6.3,1.2,13.7,0,2,1,1
2019,20190304,광진구,1,1,0,0,1,2,0,0,1,6.5,1,9.9,5,16.3,0,3,1,0
2019,20190313,성동구,1,1,0,1,0,2,0,0,1,7,0,3.5,-0.4,8.5,0,3,1,0
2019,20190401,양천구,0,1,0,0,1,0,0,0,1,7,0,5.5,0.3,11.3,0,4,2,0
2019,20190407,양천구,1,1,2,1,0,1,1,0,1,6,옐로카펫연도,12.6,5.6,20.3,0,4,2,1
2019,20190420,성동구,1,1,1,1,0,1,0,0,1,6.5,1,14.3,9.7,19.1,1.2,4,2,1
2019,20190501,성동구,0,1,0,0,1,1,0,0,1,24,0,16.4,11.2,22.2,0,5,2,0
2019,20190504,양천구,1,3,2,1,1,1,1,0,1,8,0,19.5,12,27.4,0,5,2,1
2019,20190505,강동구,0,1,2,1,1,1,1,0,1,15,0,19.2,13.6,26.5,0,5,2,1
2019,20190507,종로구,0,1,2,1,0,0,1,0,1,25,0,15,8.4,21.9,0,5,2,0
2019,20190605,양천구,1,1,0,0,1,1,0,0,1,7,0,23,17.8,29.6,0,6,2,0
2019,20190606,강동구,1,1,0,1,0,1,0,0,1,6,0,21.2,18.6,25.1,7.5,6,2,0
2019,20190614,구로구,1,1,0,0,1,1,0,0,1,7,0,23,19.1,28.4,0,6,2,0
2019,20190614,성동구,0,1,0,0,1,1,0,0,1,12.5,1,23,19.1,28.4,0,6,2,0
2019,20190619,동대문구,1,1,1,1,1,1,0,0,1,10,0,21.4,18.9,25.4,0.2,6,2,0
2019,20190722,노원구,1,1,0,0,0,1,0,0,1,10,0,26.7,24.2,31,0.1,7,3,0
2019,20190724,동대문구,0,2,2,1,0,1,1,0,1,10,0,26.5,25.2,27.2,1,7,3,0
2019,20190729,용산구,1,1,1,1,0,1,0,0,1,15,0,27.5,25.6,30,0.5,7,3,0
2019,20190808,양천구,0,1,0,0,0,1,0,0,1,6,0,28.9,25.9,32.7,0,8,3,0
2019,20190911,중랑구,1,1,0,0,0,1,0,0,1,10,0,24.3,20.4,28.7,7.6,9,3,0
2019,20190921,강동구,0,4,0,1,0,1,0,0,1,8,0,19.6,18.3,22.1,0,9,3,1
2019,20190925,양천구,1,1,0,0,1,1,0,0,1,6,0,20.9,14.8,27.4,0,9,3,0
2019,20190927,서초구,1,1,0,0,0,1,0,0,1,4,0,22.9,19.6,27,0,9,3,0
2019,20190930,금천구,1,1,0,0,0,1,0,0,1,7,0,22.4,16.4,29.9,0,9,3,0
2019,20191012,성동구,0,1,2,1,1,1,1,0,1,10,0,17.9,13.3,23.3,0,10,4,1
2019,20191030,중랑구,0,1,0,0,1,1,0,0,1,10,0,11.2,5,17.7,0,10,4,0
2019,20191207,노원구,1,1,2,1,1,1,1,1,1,20,0,-2.4,-5.5,1.2,0.1,12,4,1
2019,20191216,강서구,0,1,2,1,1,1,1,0,1,6,0,7.8,2.1,12.9,0,12,4,0
연도,날짜,구,주야,사상자수,사고유형1,사고유형2,도로형태,가해차량,피해차량,시설종류,CCTV여부,보호구역폭,옐로카펫_설치유무,평균기온___,최저기온___,최고기온___,강수량_mm_,월별,분기별,평일주말
총합,총합,총합,207,484,268,217,143,388,105,5,326,3659.55,16,5428.8,3910.1,7281.2,1086,2477,947,108
